Year,PC Name,PC No,Type,State,Winning Candidate,Party,Electors,Votes,Margin
2014,Malappuram,6,GEN,Kerala,E. Ahamed,Indian Union Muslim League,1198444,853467,194739
2014,Maldaha Dakshin,8,GEN,West Bengal,Abu Hasem Khan Chowdhury,Indian National Congress,1347143,1092407,164111
2014,Maldaha Uttar,7,GEN,West Bengal,Mausam Noor,Indian National Congress,1425428,1162985,65705
2014,Malkajgiri,7,GEN,Telangana,Ch.Malla Reddy,Telugu Desam,3183325,1620397,28371
2014,Mandi,2,GEN,Himachal Pradesh,Ram Swaroop Sharma,Bharatiya Janta Party,1150408,726094,39856
2014,Mandla,14,ST,Madhya Pradesh,Faggan Singh Kulaste,Bharatiya Janta Party,1824424,1218518,110469
2014,Mandsour,23,GEN,Madhya Pradesh,Sudhir Gupta,Bharatiya Janta Party,1626571,1161349,303649
2014,Mandya,20,GEN,Karnataka,C.S.Puttaraju,Janata Dal (Secular),1669262,1192638,5518
2014,Mangaldoi,8,GEN,Assam,Ramen Deka,Bharatiya Janta Party,1515676,1233237,22884
2014,Mathura,17,GEN,Uttar Pradesh,Hema Malini,Bharatiya Janta Party,1682260,1076868,330743
2014,Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1488784,1265531,138436
2014,Maval,33,GEN,Maharashtra,Appa Alias Shrirang Chandu Barne,Shiv Sena,1953741,1174335,157397
2014,Mavelikara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,1252668,889060,32737
